"Orthogroup" "PS_dup_1" "PS_dup_2" "N_dup_1" "N_dup_2" "DN" "C" "SB" "SP"
"210" "OG0001196" 1 1 0 0 0 0 0 0
"211" "OG0001197" 0 1 0 0 0 0.0546630682148585 0.0546630682148585 0
"212" "OG0001199" 0 0.383255068240727 0 0 0 0.920746764264239 0.920746764264239 0
"213" "OG0001200" 0 1 0 0 0 0.0707981407328337 0.0707981407328337 0
"214" "OG0001201" 0 1 0 0 0 0.36157859480632 0.36157859480632 0
"215" "OG0001203" 0 0 0 0 0 1 1 0
"216" "OG0001204" 0 0 0.0761913812383317 0 0 0.144854606490999 0.0109271383683962 0
"217" "OG0001205" 0 1 0 0 0 0.926525097139575 0.926525097139575 0
"218" "OG0001206" 0 0 0 0 0 1 1 0
"219" "OG0001207" 0 0 0 0.200182209517535 0 0 0 0.787667787096582
"220" "OG0001208" 0 0 0 1 0 0 0 0
"221" "OG0001213" 0 0 0 0 0 1 1 0
"222" "OG0001214" 0 0 1 0 0 0 0 0
"223" "OG0001215" 0 0 0 0 0 1 1 0
"224" "OG0001219" 0 0 0.00909244555556444 0 0 0.787579735026416 0.563304457601779 0
"225" "OG0001222" 0 1 0 0 0 0.570993924521731 0.570993924521731 0
"226" "OG0001223" 0 0 0.208867581695009 0.172339350833348 0 0.15098970724882 0 0.372501627090735
"227" "OG0001224" 0 0 0 0 0 1 1 0
"228" "OG0001226" 0 0 0 0 0 1 1 0
"229" "OG0001227" 0 0 0 0 0 1 1 0
"230" "OG0001229" 1 0 0 0 0 0 0 0
"231" "OG0001230" 0 0 0 0 0 1 1 0
"232" "OG0001231" 1 0 0 0 0 0 0 0
"233" "OG0001232" 1 1 0 0 0 0 0 0
"234" "OG0001234" 0 1 0 0 0 0.636717792664591 0.636717792664591 0
"235" "OG0001235" 1 1 0 0 0 0 0 0
"236" "OG0001237" 0 0 0 0 0 1 1 0
"237" "OG0001238" 0 0 0 0 0 1 1 0
"238" "OG0001239" 0 0 0.675009952879309 0.00424536042918553 0 0 0 0.11035721048966
"239" "OG0001240" 0 0 0 0 0 1 1 0
"240" "OG0001241" 0 0 0 0 0 0.738109322354579 0.738109322354579 0
"241" "OG0001242" 0 0 0 0 0 1 1 0
"242" "OG0001243" 0 0 0 0 0 0 0 1
"243" "OG0001244" 0 0 0.245785731902685 0 0 0 0 0
"244" "OG0001245" 0 0 0 0.188514937868629 0 0.42530688841205 0 0
"245" "OG0001247" 1 0 0 0 0 0 0 0
"246" "OG0001248" 0 0 0 0 0 1 1 0
"247" "OG0001249" 0 0 0 0 0 1 1 0
"248" "OG0001250" 0 1 0 0 0 0.619473131618873 0.619473131618873 0
"249" "OG0001251" 0 0 0 0 0 1 1 0
"250" "OG0001253" 1 1 0 0 0 0 0 0
"251" "OG0001254" 0 0 0 0 0 1 1 0
"252" "OG0001255" 0 1 0 0 0 0.402501779948965 0.402501779948965 0
"253" "OG0001258" 0 1 0 0 0 0.966866868061418 0.966866868061418 0
"254" "OG0001259" 0 1 0 0 0 0.24697109377396 0.24697109377396 0
"255" "OG0001260" 0 1 0 0 0 0 0 0
"256" "OG0001266" 0 1 0 0 0 0.428192570469719 0.428192570469719 0
"257" "OG0001267" 0 1 0 0 0 0.0705631696497025 0.0705631696497025 0
"258" "OG0001268" 1 0 0 0 0 0 0 0
"259" "OG0001270" 0 0 0 0 0 1 1 0
"260" "OG0001271" 0 1 0 0 0 0.193116468843215 0.193116468843215 0
"261" "OG0001273" 0 0 0.350891757586718 0.0189948490285954 0 0.00602609231399314 0 0.517518248564098
"262" "OG0001275" 0 0 0 0 0 0 0 1
"263" "OG0001276" 0 0 0 0.0145732815292643 0 0.701782288298316 0.31942979868776 0
"264" "OG0001277" 0 0.956907988000182 0.000634843761085152 0 0 0.261361769271087 0.258089477214198 0
"265" "OG0001279" 0 0 0 0 0 1 1 0
"266" "OG0001280" 0 0 0 0.0430067517210208 0 0.74360870316963 0.269679634049149 0
"267" "OG0001282" 0 1 0 0 0 0.140798551560268 0.140798551560268 0
"268" "OG0001283" 1 0 0 0 0 0 0 0
"269" "OG0001284" 1 1 0 0 0 0 0 0
"270" "OG0001285" 0 0 0 0.433350234444542 0 0.388428677783026 0 0
"271" "OG0001286" 0 0 0.0892663974121888 0 0 0 0 0
"272" "OG0001287" 0 1 0 0 0 0.0671674620344658 0.0671674620344658 0
"273" "OG0001288" 1 0 0 0 0 0 0 0
"274" "OG0001289" 1 0 0 0 0 0 0 0
"275" "OG0001290" 0 1 0 0 0 0 0 0
"276" "OG0001292" 0 0.735540379206018 0 0 0 0.417136951086884 0.417136951086884 0
"277" "OG0001293" 0 0 0.0184249185812482 0 0 0.756625532170814 0.44339871687267 0
"278" "OG0001294" 0 0 1 0 0 0 0 0
"279" "OG0001296" 0 0 0 0 0 0.832229051111044 0.832229051111044 0
"280" "OG0001297" 0 1 0 0 0 0 0 0
"281" "OG0001298" 1 0 0 0 0 0 0 0
"282" "OG0001299" 0 0 0 0.397780032295015 0 0.45735476725647 0 0
"283" "OG0001302" 0 1 0 0 0 0.935672715971011 0.935672715971011 0
"284" "OG0001304" 0 0 0 0 0 1 1 0
"285" "OG0001306" 1 1 0 0 0 0 0 0
"286" "OG0001308" 0 0 0 1 0 0 0 0
"287" "OG0001309" 0 0 0 0 0 1 1 0
"288" "OG0001310" 0 0 0 0 0 1 1 0
"289" "OG0001311" 0 0 0 0 0 1 1 0
"290" "OG0001312" 0 1 0 0 0 0.0548652444266026 0.0548652444266026 0
"291" "OG0001316" 0 1 0 0 0 0.616386030597858 0.616386030597858 0
"292" "OG0001317" 0 0 0 0 0 0.729726437353026 0.729726437353026 0
"293" "OG0001318" 0 1 0 0 0 0.317534263423662 0.317534263423662 0
"294" "OG0001319" 0 1 0 0 0 0.25993475888339 0.25993475888339 0
"295" "OG0001320" 0 0 0 0 0 1 1 0
"296" "OG0001322" 0 0 0 0 0 1 1 0
"297" "OG0001323" 1 1 0 0 0 0 0 0
"298" "OG0001324" 0.915778334057797 0 0 0.00117156961929857 0 0.0549324254597383 0.024126516664145 0
"299" "OG0001325" 0 0 0 0 0 1 1 0
"300" "OG0001326" 0 1 0 0 0 0.676804561361674 0.676804561361674 0
"301" "OG0001327" 1 0 0 0 0 0 0 0
"302" "OG0001328" 0 0 0 0 0 0.984881687025638 0.984881687025638 0
"303" "OG0001329" 1 0 0 0 0 0 0 0
"304" "OG0001330" 0 1 0 0 0 0.335179202056024 0.335179202056024 0
"305" "OG0001332" 0 1 0 0 0 0.472316130299847 0.472316130299847 0
"306" "OG0001333" 0 0 0 0 0 1 1 0
"307" "OG0001334" 0 0.0961926665045977 0.00317355995208098 0 0 0.860750247128972 0.715693755888594 0
"308" "OG0001335" 0 0 0 0 0 1 1 0
"309" "OG0001337" 0.893285399177651 0 0 0 0 0.0227760120573465 0.0227760120573465 0
"310" "OG0001339" 0 0 1 0 0 0 0 0
"311" "OG0001341" 0 0 0 0 0 1 1 0
"312" "OG0001342" 0 0 0 0 0 1 1 0
"313" "OG0001343" 0 0 0 0 0 1 1 0
"314" "OG0001344" 0 1 0 0 0 0.25209272240418 0.25209272240418 0
"315" "OG0001345" 0 0 0 0.156806795064727 0 0.536154232433626 0 0
"316" "OG0001346" 0 0 0 0.171776755631188 0 0.49091328132188 0 0
"317" "OG0001347" 0.995934465886298 0 0 0 0 0.000207020309561704 0.000207020309561704 0
"318" "OG0001349" 0 0 0 1 0 0 0 0
"319" "OG0001350" 1 1 0 0 0 0 0 0
"320" "OG0001351" 0 0 1 0 0 0 0 0
"321" "OG0001352" 0.377383797208506 0.169845062944673 0 0 0 0.0452259425308249 0.0452259425308249 0
"322" "OG0001356" 0 0 0 1 0 0 0 0
"323" "OG0001358" 0 0 0 0 0 1 1 0
"324" "OG0001359" 0 1 0 0 0 0 0 0
"325" "OG0001360" 0 0 0.182549320275834 0.0775708035426262 0 0.0345556420326831 0 0.640294203194242
"326" "OG0001362" 1 0 0 0 0 0 0 0
"327" "OG0001365" 1 1 0 0 0 0 0 0
"328" "OG0001366" 1 0 0 0 0 0 0 0
"329" "OG0001368" 0 1 0 0 0 0.734988211606654 0.734988211606654 0
"330" "OG0001372" 1 0 0 0 0 0 0 0
"331" "OG0001373" 0 0 0 0 0 0 0 1
"332" "OG0001374" 0 1 0 0 0 0.490369767515668 0.490369767515668 0
"333" "OG0001377" 1 1 0 0 0 0 0 0
"334" "OG0001380" 0 0 0 0.0187586784618382 0 0.796356708579049 0.419672729817793 0
"335" "OG0001382" 0 0.79472532465541 0.0029644636942368 0 0 0.279189213336323 0.263275586086107 0
"336" "OG0001385" 0 1 0 0 0 0.728854033046055 0.728854033046055 0
"337" "OG0001387" 0 1 0 0 0 0 0 0
"338" "OG0001389" 0 0.207711779371756 0 0 0 0.871517042691067 0.871517042691067 0
"339" "OG0001390" 0.468700840284592 1 0 0 0 0.0141139398557149 0.0141139398557149 0
"340" "OG0001393" 0 1 0 0 0 0.510106966234578 0.510106966234578 0
"341" "OG0001396" 0.952861565363199 0 0 0.000865986617336249 0 0.025488769203395 0.00671045591299149 0
"342" "OG0001397" 0 1 0 0 0 0.122247882654509 0.122247882654509 0
"343" "OG0001398" 0 0 0 0 0 1 0.254033973452857 0
"344" "OG0001399" 0 0 1 0 0 0 0 0
"345" "OG0001401" 0.701911362535909 0.627389203169886 0 0 0 0.00999639402583481 0.00999639402583481 0
"346" "OG0001402" 0 1 0 0 0 0.887117423096722 0.887117423096722 0
"347" "OG0001404" 0 1 0 0 0 0 0 0
"348" "OG0001405" 1 1 0 0 0 0 0 0
"349" "OG0001406" 1 1 0 0 0 0 0 0
"350" "OG0001407" 0 0 0 0 0 0 0 1
"351" "OG0001409" 0 0 0 0 0 1 1 0
"352" "OG0001410" 1 0 0 0 0 0 0 0
"353" "OG0001412" 0 0 0.0506306462618861 0 0 0 0 0.943203610218684
"354" "OG0001413" 1 0 0 0 0 0 0 0
